,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000026117,0,3,0,0,1,0,1,0,2,0
ENSMUSG00000026116,2994,1214,1574,2382,1943,2239,2125,2119,1453,1401
ENSMUSG00000103016,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102930,0,2,0,0,2,0,0,0,1,0
ENSMUSG00000103159,0,2,0,0,1,0,2,1,0,0
ENSMUSG00000080054,0,4,2,6,2,2,8,7,5,2
ENSMUSG00000026114,1,0,1,4,1,3,2,0,0,1
ENSMUSG00000026113,418,394,325,372,379,418,422,408,403,275
ENSMUSG00000026112,2058,841,847,1474,1690,1922,1376,1338,941,910
ENSMUSG00000026111,881,763,628,860,793,799,947,807,633,649
ENSMUSG00000026110,2,5,2,7,8,20,1,29,65,14
ENSMUSG00000026090,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000060771,153,80,107,133,75,127,123,117,96,87
ENSMUSG00000097268,1,0,1,0,0,1,1,0,2,1
ENSMUSG00000037216,149,79,100,107,198,149,268,141,93,127
ENSMUSG00000026088,508,905,1384,753,2353,949,1546,877,801,1757
ENSMUSG00000026087,1786,1735,1608,2421,3205,2165,2921,2289,2056,2031
ENSMUSG00000061584,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058407,1962,1765,1404,2399,2127,2197,3052,2382,1846,1579
ENSMUSG00000026083,5064,6110,4953,7944,6978,6850,9476,7697,8153,4850
ENSMUSG00000026082,908,873,872,934,935,1028,956,959,660,579
ENSMUSG00000103804,3,6,8,12,10,14,25,13,0,6
ENSMUSG00000037138,0,0,0,1,0,1,0,0,1,0
ENSMUSG00000085280,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000048814,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026080,0,144,0,181,120,276,80,118,109,76
ENSMUSG00000102447,0,0,0,0,1,1,1,0,0,0
ENSMUSG00000026078,2089,2254,1781,2367,2181,2282,2967,2555,2464,2131
ENSMUSG00000103046,18,18,17,15,24,18,31,22,35,15
ENSMUSG00000026077,1,0,0,1,3,1,12,4,0,0
ENSMUSG00000092553,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092563,1,1,0,1,1,1,5,0,2,1
ENSMUSG00000073702,2532,3294,2277,3795,3329,3040,4360,3673,3907,3094
ENSMUSG00000003134,160,42,53,71,159,109,178,63,22,41
ENSMUSG00000102607,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000003135,1259,1005,791,1134,1073,1107,1379,1216,983,847
ENSMUSG00000085894,17,7,16,12,12,12,21,13,14,10
ENSMUSG00000077704,3,4,3,5,2,6,1,6,3,1
ENSMUSG00000048234,504,262,275,554,316,871,652,343,273,285
ENSMUSG00000064936,0,2,0,3,1,0,2,0,0,0
ENSMUSG00000102471,0,0,0,0,1,0,1,0,1,2
ENSMUSG00000050967,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000097083,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057173,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101634,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000026074,5696,2915,3513,4324,3229,6081,5320,3710,2946,2968
ENSMUSG00000102985,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000026073,0,0,2,2,0,3,1,5,5,1
ENSMUSG00000097899,3,0,1,2,3,8,4,2,2,0
ENSMUSG00000102975,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026072,515,400,142,1024,248,1217,391,173,527,367
ENSMUSG00000103560,0,0,0,2,2,2,2,0,0,1
ENSMUSG00000070942,0,0,0,1,0,2,0,0,1,0
ENSMUSG00000026069,409,1906,719,41,11423,4522,2032,4822,342,2198
ENSMUSG00000026070,0,0,0,0,3,0,1,1,0,0
ENSMUSG00000026068,77,47,30,17,112,69,55,135,27,146
ENSMUSG00000026062,1,0,0,0,1,1,3,2,1,2
ENSMUSG00000103270,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041945,11,31,31,68,57,84,89,40,22,42
ENSMUSG00000079588,1,4,0,0,1,0,1,2,0,3
ENSMUSG00000100178,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045515,0,0,1,0,0,0,0,2,0,0
ENSMUSG00000060679,1396,1468,1240,1479,1758,1710,1763,1730,1563,1342
ENSMUSG00000070939,1298,478,686,756,879,941,1108,913,572,497
ENSMUSG00000041878,3,5,1,0,1,5,4,4,1,1
ENSMUSG00000010290,535,374,309,436,292,580,372,430,470,302
ENSMUSG00000008136,414,546,335,329,1068,566,1155,542,205,804
ENSMUSG00000094497,6,12,2,2,15,4,4,11,2,8
ENSMUSG00000099576,0,1,0,0,2,1,2,0,0,1
ENSMUSG00000066877,807,925,748,1031,864,1097,1113,805,1168,771
ENSMUSG00000103422,0,1,0,0,0,1,0,0,0,1
ENSMUSG00000103945,6,9,10,7,13,16,31,11,13,12
ENSMUSG00000026051,0,0,2,2,0,33,1,0,1,3
ENSMUSG00000100764,5,5,4,3,1,5,3,8,10,6
ENSMUSG00000100635,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100480,15,4,7,5,1,8,8,12,4,3
ENSMUSG00000057363,1659,1078,1161,1350,1194,1392,1740,1455,1171,1306
ENSMUSG00000090243,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100701,0,2,0,1,1,4,0,0,0,1
ENSMUSG00000095757,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000041763,2971,2283,2353,2791,3132,3069,3675,3837,1984,2201
ENSMUSG00000047343,0,0,0,0,1,2,0,1,0,0
ENSMUSG00000091844,1,4,3,1,4,7,11,13,10,9
ENSMUSG00000026049,469,745,585,787,614,475,817,725,730,492
ENSMUSG00000026047,880,441,563,846,680,790,704,879,451,497
ENSMUSG00000041684,704,320,414,505,540,660,550,436,291,407
ENSMUSG00000026048,713,614,681,1163,679,961,1206,820,773,465
ENSMUSG00000100769,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101567,1,1,1,1,2,0,3,0,1,3
ENSMUSG00000056870,1940,1246,1472,2266,1338,2662,2130,2194,1751,1468
ENSMUSG00000102319,2,13,7,17,10,9,29,27,68,3
ENSMUSG00000089877,5,3,5,12,5,12,9,12,19,1
ENSMUSG00000103071,0,0,0,0,0,2,1,0,2,0
ENSMUSG00000100434,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026043,289,1251,3035,4057,315,5090,374,2288,819,2661
ENSMUSG00000026042,21027,10868,14089,33765,9441,21190,29815,21351,10074,11706
ENSMUSG00000104476,9,29,10,26,27,13,49,29,86,7
ENSMUSG00000100218,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000100361,5,8,5,3,1,4,1,5,3,6
ENSMUSG00000100894,2,0,1,0,0,1,4,0,0,0
ENSMUSG00000095121,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000100843,0,0,1,7,1,8,1,0,0,0
ENSMUSG00000025995,1665,899,964,1496,1637,2084,1767,1881,931,960
ENSMUSG00000084817,210,214,162,500,172,137,354,205,329,216
ENSMUSG00000098549,0,0,0,0,0,0,1,0,1,1
ENSMUSG00000025993,8,119,59,11,19,71,9,46,108,4
ENSMUSG00000070896,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090682,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041144,16,3,9,1,0,66,0,21,65,0
ENSMUSG00000096047,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101262,3,1,1,1,3,2,2,2,3,4
ENSMUSG00000101337,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000025986,511,235,297,270,348,682,385,582,170,249
ENSMUSG00000100213,1,5,0,2,4,4,4,9,7,8
ENSMUSG00000103129,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100160,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101447,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081185,1,2,1,1,0,0,0,1,1,1
ENSMUSG00000100033,9,5,5,5,2,9,2,3,4,8
ENSMUSG00000096973,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000097883,0,0,0,1,1,0,1,0,0,1
ENSMUSG00000101760,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099608,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000100816,0,0,1,0,0,1,1,2,0,1
ENSMUSG00000026109,61,76,97,157,67,26,279,204,19,114
ENSMUSG00000100671,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099924,0,1,0,0,0,0,4,0,1,0
ENSMUSG00000099625,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000101799,0,0,0,0,1,2,0,1,0,0
ENSMUSG00000045954,3895,1061,1543,1172,3003,1754,4568,4481,904,2439
ENSMUSG00000101702,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026107,430,219,256,514,352,501,509,336,394,229
ENSMUSG00000099413,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000018417,0,192,45,0,79,7,0,122,0,13
ENSMUSG00000100696,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072324,0,0,0,2,0,0,0,2,0,1
ENSMUSG00000062939,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101628,0,0,1,0,0,1,1,0,1,0
ENSMUSG00000078291,1,0,1,0,1,1,1,1,1,2
ENSMUSG00000026104,282,666,1867,1042,2889,1141,1559,373,848,2671
ENSMUSG00000026103,3687,1830,2093,1637,2185,2603,2858,2137,1731,1743
ENSMUSG00000002881,3632,2041,2598,2648,2882,2760,2853,2610,2131,2505
ENSMUSG00000097833,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000101501,1,4,1,1,1,0,1,1,2,3
ENSMUSG00000100120,0,1,1,0,0,0,0,0,1,1
ENSMUSG00000099878,0,0,1,1,1,0,0,0,3,0
ENSMUSG00000100007,3,3,0,3,4,2,3,0,5,0
ENSMUSG00000043015,291,464,413,284,307,463,307,394,423,293
ENSMUSG00000103630,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000041439,3,49,71,2,68,1,12,19,3,3
ENSMUSG00000100302,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100230,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026102,592,666,643,769,1071,727,896,847,640,710
ENSMUSG00000041426,471,404,353,576,295,597,622,431,404,412
ENSMUSG00000060715,4,2,1,0,4,0,1,0,2,0
ENSMUSG00000026098,400,415,361,412,393,436,438,492,345,370
ENSMUSG00000026097,352,203,225,338,179,287,284,252,255,225
ENSMUSG00000026096,214,188,160,163,185,169,259,236,131,171
ENSMUSG00000101838,0,0,0,1,0,1,0,0,1,0
ENSMUSG00000026095,95,136,82,118,80,98,135,163,245,84
ENSMUSG00000096141,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026094,945,297,437,838,279,669,864,642,557,429
