"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Ppp5c",3.82837626381917e-186,-0.427279371951931,0.879,0.967,9.7937521581022e-182,"Ppp5c"
"Tle4",4.26306301341961e-186,0.808349859428547,0.826,0.698,1.09057678009301e-181,"Tle4"
"Sec62",4.31702122616625e-186,0.489803679336732,0.973,0.929,1.10438037007785e-181,"Sec62"
"Igf2bp1",4.76735678117502e-186,0.363468358840402,0.999,0.997,1.21958521176019e-181,"Igf2bp1"
"Tsix",5.84495002536854e-186,0.386780031839642,0.253,0.044,1.49525511548978e-181,"Tsix"
"Hnrnpa2b1",7.37350620549345e-186,0.362094135298793,1,1,1.88629035748933e-181,"Hnrnpa2b1"
"Rnf126",1.65736328542757e-185,-0.401480677006289,0.946,0.986,4.2398667567808e-181,"Rnf126"
"Nop58",2.64173825429763e-185,0.470189386775433,1,0.999,6.75809480214418e-181,"Nop58"
"Tubb4b",5.02594557664755e-185,-0.389609044349454,1,1,1.28573739741798e-180,"Tubb4b"
"Rpn1",2.47086851614176e-184,0.610189664356338,0.911,0.819,6.32097583799385e-180,"Rpn1"
"Nasp",2.64060658162662e-184,0.330162057172622,1,1,6.75519975711721e-180,"Nasp"
"Top1",4.04440857053779e-184,0.336483391253923,1,1,1.03464060051498e-179,"Top1"
"Atxn2",1.44545047167039e-182,0.522529541210595,0.779,0.572,3.6977513966272e-178,"Atxn2"
"Gpatch8",2.61616522835259e-182,0.549655674254721,0.809,0.644,6.69267388717159e-178,"Gpatch8"
"Tjp1",3.32486652509772e-182,0.556172687646441,0.788,0.581,8.50567354450499e-178,"Tjp1"
"Phactr4",3.48878373574398e-181,0.575370062340708,0.58,0.336,8.92500655278024e-177,"Phactr4"
"Ranbp2",1.35796201502518e-180,0.528656968958236,0.813,0.631,3.47393842683743e-176,"Ranbp2"
"Adnp",2.27991797143599e-179,0.494620265364825,0.464,0.205,5.83248615452756e-175,"Adnp"
"Myl12a",9.23972236176797e-179,-0.381457466935255,0.999,1,2.36370577458748e-174,"Myl12a"
"Mdh1",1.07627877697292e-178,-0.29841490419703,1,1,2.75333636725211e-174,"Mdh1"
"Limd2",2.051020587749e-178,-0.454703509587297,0.941,0.982,5.2469208675795e-174,"Limd2"
"Psme4",9.83778713961705e-178,0.497629523957348,0.853,0.688,2.51670270605683e-173,"Psme4"
"Tead2",3.12159164803117e-177,-0.359890154171817,0.995,0.997,7.98565575399334e-173,"Tead2"
"Cltc",8.71404712725927e-177,0.489257361793346,0.914,0.799,2.22922753609547e-172,"Cltc"
"Itgb1",3.96742031209547e-176,0.695192865128297,0.915,0.847,1.01494546424026e-171,"Itgb1"
"Tnrc6a",4.20007677596498e-176,0.501484830418384,0.898,0.799,1.07446364082736e-171,"Tnrc6a"
"Nup85",8.65107298128673e-176,-0.458773825990296,0.767,0.895,2.21311749007277e-171,"Nup85"
"Tecr",1.53379038588977e-174,-0.313976901985389,0.999,1,3.92374256518322e-170,"Tecr"
"H2ax",6.33485216927296e-174,-0.407483974715076,0.998,1,1.62058188194341e-169,"H2ax"
"Nisch",7.15999523620214e-174,0.501206484570898,0.966,0.933,1.83166998132523e-169,"Nisch"
"Elavl1",2.34137059649114e-173,-0.329758440593332,1,1,5.98969425994364e-169,"Elavl1"
"H1f5",5.78094919366196e-173,1.16417756179108,0.716,0.562,1.4788824227226e-168,"H1f5"
"Top2b",8.92120802125645e-173,0.558484976352001,0.806,0.63,2.28222343599783e-168,"Top2b"
"Rcc1",2.71020871552275e-172,-0.445132942074956,0.884,0.964,6.93325593605029e-168,"Rcc1"
"Psma6",3.30347825927543e-172,-0.278891257830673,0.999,1,8.45095808287842e-168,"Psma6"
"Maz",3.73280792346269e-172,-0.356120010105372,0.98,0.996,9.54926922980224e-168,"Maz"
"Fzd3",1.03480317447869e-171,0.70394087228672,0.757,0.579,2.64723348095138e-167,"Fzd3"
