"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Mthfd1",1.87253636373162e-24,-0.265583914991618,0.654,0.723,4.79032252569824e-20,"Mthfd1"
"Slc38a10",1.90474573938898e-24,-0.255564948876769,0.386,0.506,4.8727205505049e-20,"Slc38a10"
"Xab2",2.61392752438452e-24,-0.255208042092072,0.549,0.636,6.68694939288049e-20,"Xab2"
"Gm1673",4.22023005618485e-24,0.254604465568581,0.89,0.84,1.07961925297321e-19,"Gm1673"
"Wbp1",4.60523514745628e-24,-0.256486595140656,0.588,0.679,1.17811125542227e-19,"Wbp1"
"Fhl1",7.9177415152915e-24,-0.329978736561653,0.642,0.729,2.02551663444187e-19,"Fhl1"
"Gigyf1",1.21179508172966e-23,-0.274914155215886,0.412,0.517,3.10001417808082e-19,"Gigyf1"
"Cbfb",1.72815940383711e-23,-0.253357708565041,0.42,0.534,4.42097738689611e-19,"Cbfb"
"Nudt4",1.73048534309186e-23,0.282591735042378,0.824,0.75,4.42692760469759e-19,"Nudt4"
"Oat",3.4336970933263e-23,-0.313034779370337,0.763,0.836,8.78408390414733e-19,"Oat"
"Glul",3.93808156931841e-23,-0.269218491736964,0.84,0.883,1.00744002706304e-18,"Glul"
"Prc1",3.94639494332827e-23,0.532964318311423,0.732,0.681,1.00956675440224e-18,"Prc1"
"Aldh18a1",4.67246075663518e-23,-0.255994459494365,0.446,0.548,1.19530891076241e-18,"Aldh18a1"
"Fbxl7",1.86865609091623e-22,0.287572190121167,0.486,0.36,4.78039601178189e-18,"Fbxl7"
"Pim2",2.47508184281595e-22,-0.405707404718513,0.092,0.188,6.33175437029177e-18,"Pim2"
"H2ac8",2.48311492398055e-22,0.49529187206197,0.831,0.858,6.35230459852705e-18,"H2ac8"
"Id3",3.0926533727646e-22,-0.408762801080632,0.935,0.961,7.9116258582064e-18,"Id3"
"Id1",4.07880731310724e-22,-0.429272036601898,0.907,0.937,1.04344048683909e-17,"Id1"
