"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccne1",2.01782177305224e-20,0.275332768314158,0.919,0.876,5.16199165982224e-16
"Crnkl1",2.66596763186335e-20,0.352993830351856,0.73,0.746,6.82007839583283e-16
"Pip4p2",2.84242065070707e-20,0.251896625961403,0.74,0.659,7.27148050863882e-16
"Cystm1",2.94920928632909e-20,-0.352754124245338,0.236,0.342,7.54466719628708e-16
"Tcf7l2",4.59517802686195e-20,0.36735915769945,0.549,0.463,1.17553844283182e-15
"Mgst3",6.5318710591113e-20,-0.307159573427548,0.351,0.475,1.67098325434185e-15
"Bcl7a",8.95505191986066e-20,0.282806862870611,0.658,0.603,2.29088138213876e-15
"Zmiz1",1.05866639682874e-19,0.258521159626561,0.709,0.654,2.70828037636729e-15
"Rbpj",2.00467088268067e-19,0.263307367832988,0.687,0.626,5.1283490520737e-15
"Foxp1",2.7789174846252e-19,0.272872810242216,0.757,0.679,7.10902670916818e-15
"Mast4",4.18245016320583e-19,0.280602273530387,0.588,0.509,1.06995440075132e-14
"Nsrp1",4.24289322824925e-19,0.256626249686871,0.776,0.743,1.08541694565072e-14
"Cenpe",5.08641430808739e-19,-0.303608601184894,0.778,0.844,1.30120650829492e-14
"Tle3",6.98736013420132e-19,0.25061584682006,0.593,0.51,1.78750646953138e-14
"G2e3",8.5642657069433e-19,0.298244996012627,0.704,0.65,2.19091045315023e-14
"Axin2",1.06337182711108e-18,0.396414580637939,0.59,0.52,2.72031780811557e-14
"Mgst1",3.09644289857214e-18,-0.309115208226558,0.401,0.516,7.92132022312724e-14
"Ccnb1",9.08118274179706e-18,0.296491383465136,0.96,0.933,2.32314816900652e-13
"Eno3",1.06501517466461e-17,-0.302465573085958,0.701,0.786,2.72452181982701e-13
"Lix1",2.99090725560986e-17,-0.295318064326515,0.315,0.418,7.65133894130114e-13
"Pdlim4",3.01136190438935e-17,-0.304911306358422,0.488,0.604,7.70366602380883e-13
"Id2",3.12226577816004e-17,0.2793805879589,0.892,0.807,7.98738031368901e-13
"Rgma",9.1729135170156e-17,0.317089160192677,0.533,0.456,2.34661473592293e-12
"Ccnd1",2.47785013931343e-16,-0.271344248562098,0.924,0.925,6.33883622639163e-12
"Tgif1",4.19336091349961e-16,0.251789534367375,0.785,0.721,1.07274558889147e-11
"Bex1",1.12697066362099e-15,-0.26725952376478,0.979,0.961,2.88301635167522e-11
"Snhg15",1.361093291418e-15,0.261346599114819,0.834,0.83,3.48194885810552e-11
"Brd9",1.99481047004467e-15,0.259856044915801,0.67,0.637,5.10312414446828e-11
"Fzd7",7.15723668250275e-15,0.274286295519146,0.421,0.337,1.83096428811785e-10
"Zfp703",1.13156496627026e-14,0.292215767164756,0.382,0.294,2.89476949671258e-10
"Ccne2",5.64107142509859e-14,0.276321764209015,0.647,0.585,1.44309889196872e-09
"Ptch1",8.73364508025182e-14,0.286869831597337,0.742,0.657,2.23424108443002e-09
"Blvrb",2.37871516040051e-13,-0.351267216898046,0.186,0.271,6.08522912333657e-09
"Rbp4",3.65974491632642e-13,-0.428670730798266,0.098,0.165,9.36235944494626e-09
"Peg3",6.85520279052128e-13,0.316648607598251,0.865,0.784,1.75369797787115e-08
"Mt1",7.14892408519171e-13,-0.359124416468355,0.206,0.29,1.82883775947374e-08
"Hoxb5os",4.09237725643629e-12,-0.657650017987185,0.336,0.391,1.04691194974153e-07
"Zeb2",4.68564362505771e-12,0.268004922303006,0.712,0.662,1.19868135216226e-07
"Cdh2",1.52662243912882e-11,0.322533053081373,0.845,0.853,3.90540552377935e-07
"Malat1",3.39321116966204e-11,0.265816890883081,1,0.999,8.68051281422944e-07
"Fgf18",3.77578736441077e-11,-0.269545890114534,0.082,0.138,9.65921923563563e-07
"Map1b",7.1966816060939e-11,0.253883609983543,0.845,0.776,1.84105508847094e-06
"Zfp36l2",8.31410251935314e-11,0.28563977040502,0.622,0.576,2.12691370650092e-06
"Mn1",8.34298827862122e-11,0.254763899608184,0.314,0.243,2.13430326143688e-06
"Rbp1",1.99247186566986e-10,-0.288157693712127,0.935,0.927,5.09714152675664e-06
"Cthrc1",2.30032018404246e-10,-0.269063021865309,0.363,0.446,5.88467909481743e-06
"Arg1",7.98452657931914e-10,-0.376144339138343,0.253,0.326,2.04260158952142e-05
"Lmo2",8.50492335427502e-10,-0.355588578168032,0.198,0.264,2.17572949249063e-05
"Cited1",2.96661546186935e-09,-0.50465824562332,0.502,0.563,7.58919567455416e-05
"Sox2",3.54095041171697e-09,0.281377580582732,0.503,0.431,9.05845934325436e-05
"Hoxa9",1.13790500525894e-08,-0.308706874192909,0.163,0.224,0.000291098858445343
"Fgf17",1.33912554843656e-08,-0.32108528855278,0.19,0.252,0.000342575097801042
"Sp8",4.3374006440963e-08,0.265076488035876,0.385,0.334,0.00110959383277272
"Ccnd2",5.16417691401564e-08,0.25684474111564,0.95,0.918,0.00132109973814348
"Efnb1",1.61849433760773e-07,0.257363374215745,0.446,0.4,0.00414043221446809
"Krt19",2.84958874983449e-07,-0.429327962966043,0.175,0.23,0.00728981793982658
"Hoxa7",4.99196174576513e-07,-0.274404252695692,0.236,0.293,0.0127704365380164
"Fam181b",5.81324317857758e-07,-0.304222430416698,0.187,0.246,0.0148714386994372
"Tcf15",1.65350758963284e-06,-0.639318830315533,0.171,0.223,0.0423000311579874
"Plod2",7.47188971171832e-06,0.257149316771254,0.606,0.591,0.191145882605178
"Rps29",8.80006278205737e-06,0.32588883714637,1,1,0.225123206090591
"Sox21",1.20301059507395e-05,0.298761040661844,0.245,0.204,0.307754170431817
"Gm47283",1.98704234563055e-05,0.292938963056673,0.917,0.988,0.508325172859206
"Myl9",3.17692972005202e-05,-0.255341050615161,0.254,0.308,0.812722160983709
"Hoxc8",5.92632273415169e-05,-0.298551114828384,0.243,0.286,1
"Hoxaas3",7.8154099202157e-05,-0.494307385546492,0.417,0.436,1
"Igfbp2",0.000268575626221402,-0.310649613461252,0.774,0.751,1
"Meox1",0.000349808322849494,-0.344204206219076,0.181,0.219,1
